row_id	partition	exit_code	artifact_directory
PREFLIGHT	canonical	0	FROZEN_ROOT/PREFLIGHT
R-CD-1	canonical	0	FROZEN_ROOT/R-CD-1
R-CD-2	canonical	0	FROZEN_ROOT/R-CD-2
R-CD-3	canonical	0	FROZEN_ROOT/R-CD-3
R-CD-4	canonical	99	FROZEN_ROOT/R-CD-4
R-CD-CHAINED-DEPTH-2	canonical	99	FROZEN_ROOT/R-CD-CHAINED-DEPTH-2
R-CD-COLLECTION-ON-COLLAPSE	canonical	99	FROZEN_ROOT/R-CD-COLLECTION-ON-COLLAPSE
R-CD-MODEL-CHAINED-ALT	canonical	0	FROZEN_ROOT/R-CD-MODEL-CHAINED-ALT
R-CD-MODEL-DEFAULT	canonical	0	FROZEN_ROOT/R-CD-MODEL-DEFAULT
R-CD-MODEL-TOKEN	canonical	0	FROZEN_ROOT/R-CD-MODEL-TOKEN
R-CD-MODEL-TOOL	canonical	99	FROZEN_ROOT/R-CD-MODEL-TOOL
R-CD-RETURN-OVERLAP	canonical	107	FROZEN_ROOT/R-CD-RETURN-OVERLAP
R-CD-SILENT	canonical	0	FROZEN_ROOT/R-CD-SILENT
R-CD-TOKEN	canonical	0	FROZEN_ROOT/R-CD-TOKEN
R-CONFIG-DEFAULTS	canonical	0	FROZEN_ROOT/R-CONFIG-DEFAULTS
R-CONFIG-INTERSESSION	canonical	0	FROZEN_ROOT/R-CONFIG-INTERSESSION
R-CW-1	canonical	0	FROZEN_ROOT/R-CW-1
R-CW-2	canonical	0	FROZEN_ROOT/R-CW-2
R-CW-3	canonical	0	FROZEN_ROOT/R-CW-3
R-CW-4	canonical	0	FROZEN_ROOT/R-CW-4
R-CW-5A	canonical	0	FROZEN_ROOT/R-CW-5A
R-CW-6A	canonical	0	FROZEN_ROOT/R-CW-6A
R-CW-7	canonical	99	FROZEN_ROOT/R-CW-7
R-CW-DELEGATE-CHILD-LIVE	canonical	99	FROZEN_ROOT/R-CW-DELEGATE-CHILD-LIVE
R-CW-DELEGATE-SELF-CONTINUATION	canonical	0	FROZEN_ROOT/R-CW-DELEGATE-SELF-CONTINUATION
R-CW-DELEGATE-TOKEN	canonical	99	FROZEN_ROOT/R-CW-DELEGATE-TOKEN
R-CW-MULTI-COLLAPSE	canonical	99	FROZEN_ROOT/R-CW-MULTI-COLLAPSE
R-CW-MULTI	canonical	99	FROZEN_ROOT/R-CW-MULTI
R-CW-TOKEN	canonical	0	FROZEN_ROOT/R-CW-TOKEN
R-OBS-1	canonical	0	FROZEN_ROOT/R-OBS-1
R-OBS-2	canonical	107	FROZEN_ROOT/R-OBS-2
R-OBS-STATUS	canonical	0	FROZEN_ROOT/R-OBS-STATUS
R-RC-1	canonical	0	FROZEN_ROOT/R-RC-1
R-RC-2	canonical	0	FROZEN_ROOT/R-RC-2
R-REGRESSION-TRAP-TESTS	canonical	107	FROZEN_ROOT/R-REGRESSION-TRAP-TESTS
R-TRACE-REDACTION-1121	canonical	99	FROZEN_ROOT/R-TRACE-REDACTION-1121
R-CW-5	fixture	1	FROZEN_ROOT/R-CW-5
R-CW-6	fixture	1	FROZEN_ROOT/R-CW-6
