class	dropped_lines	file	detail
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	-
GENUINE	0	config/assertion-safety-baseline.txt	-
GENUINE	0	config/knip.config.ts	-
GENUINE	0	docs/.generated/config-baseline.counts.json	-
GENUINE	0	docs/.generated/config-baseline.sha256	-
SAFE-NEW	0	docs/assets/continuation-tools/continue-delegate.svg	-
SAFE-NEW	0	docs/assets/continuation-tools/continue-work.svg	-
SAFE-NEW	0	docs/assets/continuation-tools/request-compaction.svg	-
SAFE-NEW	0	docs/design/continuation-tools-infographics.md	-
SAFE-NEW	0	docs/design/continue-work-signal-v2.md	-
GENUINE	0	docs/reference/database-schemas/agent-schema-history.md	-
GENUINE	0	docs/tools/subagents/nesting.md	-
GENUINE	0	docs/tools/subagents/operations.md	-
GENUINE	0	extensions/codex/src/app-server/dynamic-tool-build.ts	-
SAFE-NEW	0	extensions/codex/src/app-server/dynamic-tool-diagnostics.test-support.ts	-
GENUINE	0	extensions/codex/src/app-server/dynamic-tool-diagnostics.ts	-
GENUINE	0	extensions/codex/src/app-server/dynamic-tools.test.ts	-
GENUINE	0	extensions/codex/src/app-server/host-capability.test-support.ts	-
GENUINE	0	extensions/codex/src/app-server/run-attempt-server-requests.ts	-
GENUINE	0	extensions/codex/src/app-server/run-attempt-types.ts	-
GENUINE	0	extensions/codex/src/app-server/run-attempt.dynamic-tools.test.ts	-
GENUINE	0	extensions/codex/src/app-server/side-question.test.ts	-
GENUINE	0	extensions/codex/src/app-server/side-question.ts	-
GENUINE	0	extensions/diagnostics-otel/api.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/codex-dynamic-tool-origin.integration.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.integration.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-ownership.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service-events.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service-trace-context.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service-traces.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service.test.ts	-
GENUINE	0	extensions/diagnostics-otel/src/service.ts	-
GENUINE	0	extensions/discord/src/monitor/ingress.test.ts	-
