Gate 2 — feature-cores byte-identity check
  PR_HEAD:   bca2b0b89ab
  CANDIDATE: 1aba291fd560
  CORES:     ../../openclaw-bootstrap/tools/drift-cure-gate.primitive-cores.txt

  PASS: src/agents/openclaw-tools.ts
  PASS: src/agents/tools/continue-work-tool.ts
  PASS: src/agents/tools/continue-work-tool.test.ts
  PASS: src/agents/tools/continue-work-tool.boundary.test.ts
  PASS: src/agents/tools/continue-delegate-tool.ts
  PASS: src/agents/tools/continue-delegate-tool.test.ts
  PASS: src/agents/tools/continue-delegate-tool.crosssession-gate.test.ts
  PASS: src/agents/tools/request-compaction-tool.ts
  PASS: src/agents/tools/request-compaction-tool.test.ts
  PASS: src/agents/tools/request-compaction-tool.callsite-threading.test.ts
  PASS: src/agents/tools/request-compaction-tool.classifier-emission.test.ts
  PASS: src/agents/tools/request-compaction-tool.volitional-threading.test.ts
  PASS: src/agents/tools/continuation-tools-registration.test.ts
  PASS: src/agents/embedded-agent-runner/abort.ts
  PASS: src/agents/embedded-agent-runner/aliases.test.ts
  PASS: src/agents/embedded-agent-runner/cache-ttl.test.ts
  PASS: src/agents/embedded-agent-runner/cache-ttl.ts
  PASS: src/agents/embedded-agent-runner/compact-reasons.test.ts
  PASS: src/agents/embedded-agent-runner/compact-reasons.ts
  FAIL: src/agents/embedded-agent-runner/compact.hooks.harness.ts (blob 9e24f093b478ab2f60b834dc14791f5476b325f3 → 17b400fadbc044ac636748d2eda6ef24ea61d5ab; 4093 bytes diff)
  FAIL: src/agents/embedded-agent-runner/compact.hooks.test.ts (blob 55a713e2af46ef2715a1ff8c073100dbe1fe5776 → 5196bb0890cfcaa8b61c7bab63e270534f46377f; 3419 bytes diff)
  FAIL: src/agents/embedded-agent-runner/compact.queued.ts (blob 411bdaae2a60bd752a45e08cafc40626ec44f117 → 88e3c5156ca8f558977fe6a5b8a38cb89802f3fa; 2290 bytes diff)
  PASS: src/agents/embedded-agent-runner/compact.runtime.ts
  PASS: src/agents/embedded-agent-runner/compact.runtime.types.ts
  FAIL: src/agents/embedded-agent-runner/compact.ts (blob 5f4a1e8a7b667bc5d40807562b87c77982a222e9 → 5023cde80e8061db1685a399c9e8ad01ee784645; 1846 bytes diff)
  PASS: src/agents/embedded-agent-runner/compact.types.ts
  PASS: src/agents/embedded-agent-runner/compaction-duplicate-user-messages.test.ts
  PASS: src/agents/embedded-agent-runner/compaction-duplicate-user-messages.ts
  PASS: src/agents/embedded-agent-runner/compaction-hooks.ts
  PASS: src/agents/embedded-agent-runner/compaction-runtime-context.test.ts
  PASS: src/agents/embedded-agent-runner/compaction-runtime-context.ts
  PASS: src/agents/embedded-agent-runner/compaction-safety-timeout.ts
  PASS: src/agents/embedded-agent-runner/compaction-successor-transcript.duplicate-prompt-loss.test.ts
  PASS: src/agents/embedded-agent-runner/compaction-successor-transcript.post-compaction-duplicate-prompt.test.ts
  PASS: src/agents/embedded-agent-runner/compaction-successor-transcript.test.ts
  PASS: src/agents/embedded-agent-runner/compaction-successor-transcript.ts
  PASS: src/agents/embedded-agent-runner/context-engine-capabilities.ts
  PASS: src/agents/embedded-agent-runner/context-engine-maintenance.test.ts
  PASS: src/agents/embedded-agent-runner/context-engine-maintenance.ts
  PASS: src/agents/embedded-agent-runner/context-truncation-notice.ts
  PASS: src/agents/embedded-agent-runner/delivery-evidence.test.ts
  PASS: src/agents/embedded-agent-runner/delivery-evidence.ts
  FAIL: src/agents/embedded-agent-runner/effective-tool-policy.test.ts (blob 6484ccca4947fad6fb49dceb0c00aade9c463dfa → 680466456ef3159ca3d3afbece5a5fabfa564bee; 6786 bytes diff)
  FAIL: src/agents/embedded-agent-runner/effective-tool-policy.ts (blob 7a9a14ae0564d62040d06ae92366b0bc777afdf6 → bac91a7ef319c6c5479fe68b025ebaac549fbf84; 5003 bytes diff)
  PASS: src/agents/embedded-agent-runner/empty-assistant-turn.ts
  PASS: src/agents/embedded-agent-runner/execution-phase.ts
  PASS: src/agents/embedded-agent-runner/extensions.test.ts
  PASS: src/agents/embedded-agent-runner/extensions.ts
  PASS: src/agents/embedded-agent-runner/extra-params.cache-retention-default.test.ts
  PASS: src/agents/embedded-agent-runner/extra-params.deepseek-v4-thinking-format.test.ts
  PASS: src/agents/embedded-agent-runner/extra-params.google.test.ts
  PASS: src/agents/embedded-agent-runner/extra-params.kilocode.test.ts
  PASS: src/agents/embedded-agent-runner/extra-params.openrouter-cache-control.test.ts
  PASS: src/agents/embedded-agent-runner/extra-params.provider-runtime.test.ts
  PASS: src/agents/embedded-agent-runner/extra-params.sampling.test.ts
  PASS: src/agents/embedded-agent-runner/extra-params.test-support.ts
  PASS: src/agents/embedded-agent-runner/extra-params.ts
  PASS: src/agents/embedded-agent-runner/extra-params.zai-tool-stream.test.ts
  PASS: src/agents/embedded-agent-runner/failure-signal.test.ts
  PASS: src/agents/embedded-agent-runner/failure-signal.ts
  PASS: src/agents/embedded-agent-runner/google-prompt-cache.test.ts
  FAIL: src/agents/embedded-agent-runner/google-prompt-cache.ts (blob 278e87d1c6d83175f67afc1ef36ba535532ca774 → 3cc2f9bfcf26669b4ea3d3f805980e2b83888256; 1120 bytes diff)
  PASS: src/agents/embedded-agent-runner/history.test.ts
  PASS: src/agents/embedded-agent-runner/history.ts
  PASS: src/agents/embedded-agent-runner/kilocode.test.ts
  PASS: src/agents/embedded-agent-runner/lanes.test.ts
  PASS: src/agents/embedded-agent-runner/lanes.ts
  PASS: src/agents/embedded-agent-runner/logger.ts
  PASS: src/agents/embedded-agent-runner/manual-compaction-boundary.test.ts
  PASS: src/agents/embedded-agent-runner/manual-compaction-boundary.ts
  PASS: src/agents/embedded-agent-runner/message-action-discovery-input.test.ts
  PASS: src/agents/embedded-agent-runner/message-action-discovery-input.ts
  PASS: src/agents/embedded-agent-runner/model-context-tokens.ts
  PASS: src/agents/embedded-agent-runner/model-discovery-cache.ts
  PASS: src/agents/embedded-agent-runner/model.forward-compat.errors-and-overrides.test.ts
  PASS: src/agents/embedded-agent-runner/model.forward-compat.test-support.ts
  PASS: src/agents/embedded-agent-runner/model.forward-compat.test.ts
  PASS: src/agents/embedded-agent-runner/model.inline-provider.test.ts
  PASS: src/agents/embedded-agent-runner/model.inline-provider.ts
  PASS: src/agents/embedded-agent-runner/model.provider-normalization.ts
  PASS: src/agents/embedded-agent-runner/model.provider-runtime.test-support.ts
  PASS: src/agents/embedded-agent-runner/model.skip-agent-discovery-hooks.test.ts
  PASS: src/agents/embedded-agent-runner/model.startup-retry.test.ts
  PASS: src/agents/embedded-agent-runner/model.static-catalog.test.ts
  PASS: src/agents/embedded-agent-runner/model.static-catalog.ts
  PASS: src/agents/embedded-agent-runner/model.test-harness.ts
  PASS: src/agents/embedded-agent-runner/model.test.ts
  PASS: src/agents/embedded-agent-runner/model.ts
  PASS: src/agents/embedded-agent-runner/openrouter-model-capabilities.test.ts
  FAIL: src/agents/embedded-agent-runner/openrouter-model-capabilities.ts (blob ea7fed980ba9c422019c014a8ec30c66ef9a406d → 6daf624b956ec1e176f1f2d7ffdbab508ae58fb7; 846 bytes diff)
  PASS: src/agents/embedded-agent-runner/post-compaction-loop-guard.test.ts
  PASS: src/agents/embedded-agent-runner/post-compaction-loop-guard.ts
  PASS: src/agents/embedded-agent-runner/prompt-cache-observability.test.ts
  PASS: src/agents/embedded-agent-runner/prompt-cache-observability.ts
  PASS: src/agents/embedded-agent-runner/prompt-cache-retention.test.ts
  PASS: src/agents/embedded-agent-runner/prompt-cache-retention.ts
  FAIL: src/agents/embedded-agent-runner/replay-history.test.ts (blob 6ea32fed8cd40ddad978eb40a669a0fb1d48ded1 → 5de179e0737e88db4ec08131699306c4593b417f; 1004 bytes diff)
  PASS: src/agents/embedded-agent-runner/replay-history.ts
  PASS: src/agents/embedded-agent-runner/replay-state.ts
  PASS: src/agents/embedded-agent-runner/resource-loader.test.ts
  PASS: src/agents/embedded-agent-runner/resource-loader.ts
  PASS: src/agents/embedded-agent-runner/result-fallback-classifier.test.ts
  PASS: src/agents/embedded-agent-runner/result-fallback-classifier.ts
  PASS: src/agents/embedded-agent-runner/run-state.ts
  PASS: src/agents/embedded-agent-runner/run.before-agent-finalize.test.ts
  PASS: src/agents/embedded-agent-runner/run.before-agent-reply-cron.test.ts
  PASS: src/agents/embedded-agent-runner/run.codex-app-server-recovery.test.ts
  PASS: src/agents/embedded-agent-runner/run.codex-server-error-fallback.test.ts
  PASS: src/agents/embedded-agent-runner/run.compaction-loop-guard.test.ts
  PASS: src/agents/embedded-agent-runner/run.continuation-opts-forward.test.ts
  PASS: src/agents/embedded-agent-runner/run.cross-provider-fallback-error-context.test.ts
  PASS: src/agents/embedded-agent-runner/run.empty-error-retry.test.ts
  PASS: src/agents/embedded-agent-runner/run.fast-mode-auto.test.ts
  PASS: src/agents/embedded-agent-runner/run.incomplete-turn.test.ts
  PASS: src/agents/embedded-agent-runner/run.overflow-compaction.fixture.ts
  PASS: src/agents/embedded-agent-runner/run.overflow-compaction.harness.ts
  PASS: src/agents/embedded-agent-runner/run.overflow-compaction.loop.test.ts
  FAIL: src/agents/embedded-agent-runner/run.overflow-compaction.test.ts (blob 543a77b3f1848c678f6449e030c8344bbdae9254 → 366d6b06e6c4d17379e403fdcd71209c1b850f67; 865 bytes diff)
  PASS: src/agents/embedded-agent-runner/run.prompt-timeout-fallback.test.ts
  PASS: src/agents/embedded-agent-runner/run.timeout-triggered-compaction.test.ts
  FAIL: src/agents/embedded-agent-runner/run.ts (blob f61a6e4cdb4f93f1dfee14c0b21fc67bc773ffea → bd7c91e615d908733f11f4eaadb4845f804aacb8; 642 bytes diff)
  PASS: src/agents/embedded-agent-runner/run/AGENTS.md
  PASS: src/agents/embedded-agent-runner/run/CLAUDE.md
  PASS: src/agents/embedded-agent-runner/run/abortable.test.ts
  PASS: src/agents/embedded-agent-runner/run/abortable.ts
  PASS: src/agents/embedded-agent-runner/run/assistant-failover.test.ts
  PASS: src/agents/embedded-agent-runner/run/assistant-failover.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-abort.test.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-abort.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-bootstrap-routing.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-http-runtime.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-session.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-stage-timing.test.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-stage-timing.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-system-prompt.test.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-system-prompt.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-tool-construction-plan.test.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-tool-construction-plan.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-trajectory-flush-cleanup.test.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-trajectory-flush-cleanup.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-trajectory-status.test.ts
  PASS: src/agents/embedded-agent-runner/run/attempt-trajectory-status.ts
  PASS: src/agents/embedded-agent-runner/run/attempt.abort-settle-timeout.test.ts
