path	2ffc_blob	c713_blob	df9_blob	result
src/tui/tui-pty-local.e2e.test.ts	20a227b2b9528d2dd94e027abeeae71f80ea4a23	20a227b2b9528d2dd94e027abeeae71f80ea4a23	20a227b2b9528d2dd94e027abeeae71f80ea4a23	IDENTICAL
packages/ai/src/internal/openai-responses-payload-policy.ts	063ec0ea82f612fa84f5ae8cadd4fc0ffe0b3f90	063ec0ea82f612fa84f5ae8cadd4fc0ffe0b3f90	063ec0ea82f612fa84f5ae8cadd4fc0ffe0b3f90	IDENTICAL
packages/ai/package.json	91dfe946d45fea1bfe427aa90a37558ec1269a66	91dfe946d45fea1bfe427aa90a37558ec1269a66	91dfe946d45fea1bfe427aa90a37558ec1269a66	IDENTICAL
tsdown.ai.config.ts	f822616ab57a49f0d18f94da4167850ac160f518	f822616ab57a49f0d18f94da4167850ac160f518	f822616ab57a49f0d18f94da4167850ac160f518	IDENTICAL
pnpm-lock.yaml	39244d4f3fa368d2b6b6f51ee89352b860f0dc3d	39244d4f3fa368d2b6b6f51ee89352b860f0dc3d	39244d4f3fa368d2b6b6f51ee89352b860f0dc3d	IDENTICAL
src/commands/doctor-lint.test.ts	45578dde3a53a6391b8c564681313d6c9488da6a	45578dde3a53a6391b8c564681313d6c9488da6a	45578dde3a53a6391b8c564681313d6c9488da6a	IDENTICAL
src/commands/doctor-lint.ts	959ae79a27338bbe3229585dce786a2b2d3dfdee	959ae79a27338bbe3229585dce786a2b2d3dfdee	959ae79a27338bbe3229585dce786a2b2d3dfdee	IDENTICAL
src/cli/update-cli/update-command-post-update.test.ts	f9c8befff7df928eb828fb94cdf3668a50b3bb89	f9c8befff7df928eb828fb94cdf3668a50b3bb89	f9c8befff7df928eb828fb94cdf3668a50b3bb89	IDENTICAL
src/cli/update-cli/update-command-post-update.ts	915c441baba42c22db07aebf51796d3fd9200d1a	915c441baba42c22db07aebf51796d3fd9200d1a	915c441baba42c22db07aebf51796d3fd9200d1a	IDENTICAL
src/cli/update-cli/update-command-git.ts	4f5ca4c8ec2ecedc20631b1807fa32eaecbf96a5	4f5ca4c8ec2ecedc20631b1807fa32eaecbf96a5	4f5ca4c8ec2ecedc20631b1807fa32eaecbf96a5	IDENTICAL
