status	path	classification
D	packages/gateway-client/src/pending-request.test.ts	adjacent gateway-client lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-client/src/pending-request.ts	adjacent gateway-client lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-client/src/protocol-client.request.test.ts	adjacent gateway-client lineage drift; no continuation primitive identifier in changed lines
D	packages/gateway-client/src/session-projection-message-identity.ts	adjacent gateway-client lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-client/src/session-projection.test.ts	adjacent gateway-client lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-client/src/session-projection.ts	adjacent gateway-client lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/channels.schema.test.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/error-details.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/gateway-error-details.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/index.test.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/public-schema.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/channels.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/error-codes.test.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/error-codes.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/logs-chat.test.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/logs-chat.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/openclaw.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/protocol-schema-fragment-channels.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/protocol-schema-fragment-transport.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/sessions-row.test.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/sessions-row.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/schema/snapshot.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	packages/gateway-protocol/src/validator-registry.ts	adjacent gateway-protocol lineage drift; no continuation primitive identifier in changed lines
M	src/agents/agent-tools.before-tool-call.embedded-mode.test.ts	adjacent agent-runtime lineage drift; no continuation primitive identifier in changed lines
M	src/agents/agent-tools.before-tool-call.policy.ts	adjacent agent-runtime lineage drift; no continuation primitive identifier in changed lines
M	src/agents/agent-tools.before-tool-call.wrapper.ts	adjacent agent-runtime lineage drift; no continuation primitive identifier in changed lines
M	src/agents/agent-tools.deferred-followup.ts	adjacent agent-runtime lineage drift; no continuation primitive identifier in changed lines
