row	assigned_lane	execution_state	canonical_state	blocker	run_id	attempt
R-CD-1	consumed_prior_one_fire	completed	partial	accepted_parent_send_but_no_authoritative_scheduled_sentinel_parent_return_or_trace	20260903T025503Z-r-cd-1-e5b29554	1
R-CD-2	consumed_prior_one_fire	completed	fail	authoritative_signed_receipt_missing_terminal_sentinel	20260903T030022Z-r-cd-2-e5b29554	1
R-CD-3	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-4	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-CHAINED-DEPTH-2	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-COLLECTION-ON-COLLAPSE	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-MODEL-CHAINED-ALT	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-MODEL-DEFAULT	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-MODEL-TOKEN	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-MODEL-TOOL	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-RETURN-OVERLAP	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CD-RETURN-COVENANT-AUTHORITY	frond_local_process_and_hermetic	stopped	missing	matrix_not_fired_after_terminal_fail_candidate	rcv-13428542657bda625490500f560a0ee4	2
R-CD-SILENT	consumed_prior_one_fire	completed	partial	accepted_parent_send_but_no_authoritative_child_completion_follow_up_internal_context_or_trace	20260903T030457Z-r-cd-silent-e5b29554	1
R-CD-TOKEN	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CONFIG-DEFAULTS	consumed_prior_one_fire	completed	pass	none	20260903T025546Z-r-config-defaults-6b09c413	1
R-CONFIG-INTERSESSION	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-1	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-2	consumed_prior_one_fire	completed	pass	none	20260903T025503Z-r-cw-2-ecde7aa4	1
R-CW-3	consumed_prior_one_fire	completed	pass	none	20260903T025532Z-r-cw-3-ecde7aa4	1
R-CW-4	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-5	frond_local_process_and_hermetic	blocked	missing	accepted_harness_pnpm_12_1_layout_incompatible	three_infrastructure_attempts	3
R-CW-5A	frond_local_process_and_hermetic	not_started	missing	terminal_fail_candidate_reached	-	0
R-CW-6	frond_local_process_and_hermetic	blocked	missing	accepted_harness_virtual_store_lock_contract_incompatible	three_infrastructure_attempts	3
R-CW-6A	frond_local_process_and_hermetic	not_started	missing	terminal_fail_candidate_reached	-	0
R-CW-7	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-DELEGATE-CHILD-LIVE	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-DELEGATE-SELF-CONTINUATION	ronan_remaining_runnable_matrix	allocated	missing	none	infrastructure-attempt-1	1
R-CW-DELEGATE-TOKEN	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-MULTI	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-MULTI-COLLAPSE	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-CW-TOKEN	consumed_prior_one_fire	completed	pass	none	20260903T025609Z-r-cw-token-ecde7aa4	1
R-OBS-1	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-OBS-2	ronan_remaining_runnable_matrix	allocated	missing	none	-	0
R-OBS-STATUS	consumed_prior_one_fire	completed	pass	none	run-20260902T2020PDT	1
R-RC-1	consumed_prior_one_fire	completed	pass	none	20260903T025635Z-r-rc-1-ecde7aa4	1
R-RC-2	consumed_prior_one_fire	completed	partial	no_child_session_or_nonce_bound_structured_request_compaction_tool_result_text_only_threshold_report_is_insufficient	20260903T025704Z-r-rc-2-ecde7aa4	1
R-REGRESSION-TRAP-TESTS	consumed_prior_one_fire	completed	pass	none	run-20260902T2015PDT	1
R-TRACE-REDACTION-1121	consumed_prior_one_fire	completed	pass	none	run-20260902T2015PDT	1
