class	dropped_lines	file	detail
GENUINE	0	apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	-
MIXED-CLOBBER	19	apps/shared/OpenClawKit/Tests/OpenClawKitTests/ChatMarkdownDisplayPreprocessorTests.swift	?
SAFE-NEW	0	docs/design/continue-work-signal-v2.md	-
MIXED-CLOBBER	1	docs/tools/subagents.md	?
MIXED-CLOBBER	1	docs/tools/thinking.md	?
MIXED-CLOBBER	1	extensions/codex/harness.test.ts	?
GENUINE	0	extensions/codex/provider.test.ts	-
MIXED-CLOBBER	2	extensions/codex/src/app-server/dynamic-tools.ts	?
GENUINE	0	extensions/copilot/src/compaction-bridge.ts	-
GENUINE	0	extensions/diagnostics-otel/api.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	-
SAFE-NEW	0	extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	-
MIXED-CLOBBER	1	extensions/diagnostics-otel/src/service.test.ts	?
MIXED-CLOBBER	6	extensions/diagnostics-otel/src/service.ts	?
GENUINE	0	extensions/google-meet/src/oauth.test.ts	-
GENUINE	0	extensions/google-meet/src/oauth.ts	-
GENUINE	0	extensions/imessage/src/monitor.watch-subscribe-retry.test.ts	-
MIXED-CLOBBER	17	extensions/matrix/src/matrix/monitor/handler.test.ts	?
MIXED-CLOBBER	1	extensions/mattermost/src/mattermost/slash-commands.ts	?
MIXED-CLOBBER	3	extensions/ollama/provider-discovery.test.ts	?
MIXED-CLOBBER	3	extensions/raft/src/accounts.ts	?
GENUINE	0	extensions/raft/src/channel.ts	-
MIXED-CLOBBER	8	extensions/raft/src/config-schema.ts	?
MIXED-CLOBBER	18	extensions/raft/src/gateway.test.ts	?
MIXED-CLOBBER	1	extensions/raft/src/setup.ts	?
MIXED-CLOBBER	6	extensions/slack/src/monitor/message-handler/prepare.test.ts	?
GENUINE	0	extensions/telegram/src/bot.create-telegram-bot.test-harness.ts	-
GENUINE	0	extensions/telegram/src/bot.create-telegram-bot.test.ts	-
GENUINE	0	extensions/voice-call/index.test.ts	-
GENUINE	0	packages/agent-core/src/agent-loop.test.ts	-
GENUINE	0	packages/agent-core/src/agent-loop.ts	-
SAFE-NEW	0	packages/gateway-protocol/src/protocol-boundary.guard.test.ts	-
GENUINE	0	packages/gateway-protocol/src/schema.ts	-
SAFE-NEW	0	packages/gateway-protocol/src/schema/agent.schema.test.ts	-
MIXED-CLOBBER	1	packages/gateway-protocol/src/schema/agent.ts	?
SAFE-NEW	0	packages/gateway-protocol/src/schema/internal-fields.ts	-
MIXED-CLOBBER	1	scripts/deadcode-unused-files.allowlist.mjs	?
MIXED-CLOBBER	3	scripts/e2e/secret-provider-integrations.mjs	?
GENUINE	0	scripts/lib/ci-node-test-plan.mjs	-
GENUINE	0	scripts/lib/codex-app-server-protocol-source.ts	-
MIXED-CLOBBER	4	scripts/plugin-sdk-surface-report.mjs	?
MIXED-CLOBBER	1	scripts/protocol-gen-swift.ts	?
MIXED-CLOBBER	2	scripts/protocol-gen.ts	?
MIXED-CLOBBER	2	src/agents/agent-hooks/compaction-safeguard.ts	?
GENUINE	0	src/agents/agent-tools.policy.ts	-
GENUINE	0	src/agents/agent-tools.ts	-
GENUINE	0	src/agents/cli-runner/helpers.ts	-
GENUINE	0	src/agents/command/attempt-execution.cli.test.ts	-
SAFE-NEW	0	src/agents/command/attempt-execution.continue-work-opts.test.ts	-
SAFE-NEW	0	src/agents/command/attempt-execution.continue-work-token.test.ts	-
SAFE-NEW	0	src/agents/command/attempt-execution.request-compaction-opts.test.ts	-
MIXED-CLOBBER	147	src/agents/command/attempt-execution.ts	?
GENUINE	0	src/agents/command/types.ts	-
SAFE-NEW	0	src/agents/compaction-attribution.test.ts	-
SAFE-NEW	0	src/agents/compaction-attribution.ts	-
GENUINE	0	src/agents/embedded-agent-runner/compact-reasons.test.ts	-
MIXED-CLOBBER	2	src/agents/embedded-agent-runner/compact-reasons.ts	?
GENUINE	0	src/agents/embedded-agent-runner/compact.hooks.harness.ts	-
GENUINE	0	src/agents/embedded-agent-runner/compact.hooks.test.ts	-
MIXED-CLOBBER	5	src/agents/embedded-agent-runner/compact.ts	?
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/compact.types.ts	?
SAFE-NEW	0	src/agents/embedded-agent-runner/run.continuation-opts-forward.test.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run.overflow-compaction.harness.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run.overflow-compaction.loop.test.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/assistant-failover.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt-tool-construction-plan.ts	-
GENUINE	0	src/agents/embedded-agent-runner/run/attempt.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-runner/run/failover-policy.ts	?
GENUINE	0	src/agents/embedded-agent-runner/run/params.ts	-
GENUINE	0	src/agents/embedded-agent-runner/system-prompt.ts	-
MIXED-CLOBBER	1	src/agents/embedded-agent-subscribe.handlers.compaction.runtime.ts	?
