row	assigned_lane	execution_state	canonical_state	blocker	run_id	attempt
R-CD-1	independent_manual_review	reviewed	pass	none	independent-review-5556060622	2
R-CD-2	historical_baseline	inherited	fail	unchanged_baseline_state	historical-baseline-review	1
R-CD-3	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CD-4	independent_manual_review	reviewed	pass	none	independent-review-5556060622	2
R-CD-CHAINED-DEPTH-2	independent_manual_review	reviewed	pass	none	independent-review-5556060622	2
R-CD-COLLECTION-ON-COLLAPSE	independent_manual_review	reviewed	partial	corrected_fresh_attempt_required	independent-review-5556789060	2
R-CD-MODEL-CHAINED-ALT	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CD-MODEL-DEFAULT	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CD-MODEL-TOKEN	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CD-MODEL-TOOL	independent_manual_review	reviewed	pass	none	independent-review-5556060622	2
R-CD-RETURN-OVERLAP	historical_baseline	inherited	missing	unchanged_baseline_state	historical-baseline-review	1
R-CD-RETURN-COVENANT-AUTHORITY	historical_baseline	inherited	missing	unchanged_baseline_state	historical-baseline-review	1
R-CD-SILENT	independent_manual_review	reviewed	pass	none	independent-review-5556060622	2
R-CD-TOKEN	historical_baseline	inherited	partial	unchanged_baseline_state	historical-baseline-review	1
R-CONFIG-DEFAULTS	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CONFIG-INTERSESSION	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-1	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-2	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-3	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-4	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-5	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-5A	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-6	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-6A	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-7	independent_manual_review	reviewed	pass	none	independent-review-5555528271	2
R-CW-DELEGATE-CHILD-LIVE	independent_manual_review	reviewed	pass	none	independent-review-5555528271	2
R-CW-DELEGATE-SELF-CONTINUATION	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-CW-DELEGATE-TOKEN	independent_manual_review	reviewed	pass	none	independent-review-5556789060	2
R-CW-MULTI	independent_manual_review	reviewed	pass	none	independent-review-5556789060	3
R-CW-MULTI-COLLAPSE	independent_manual_review	reviewed	pass	none	independent-review-5555528271	2
R-CW-TOKEN	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-OBS-1	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-OBS-2	historical_baseline	inherited	missing	unchanged_baseline_state	historical-baseline-review	1
R-OBS-STATUS	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-RC-1	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-RC-2	historical_baseline	inherited	partial	unchanged_baseline_state	historical-baseline-review	1
R-REGRESSION-TRAP-TESTS	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
R-TRACE-REDACTION-1121	historical_baseline	inherited	pass	unchanged_baseline_state	historical-baseline-review	1
