span_name	duration_ms	span_id_prefix
openclaw.message.processed	240306.0	mhCNAnYD
openclaw.harness.run	240044.0	E8Mk0JUL
openclaw.run	240041.0	KQOzX37l
openclaw.model.call	23573.0	NDNr2LD4
openclaw.context.assembled	0	ktgK4Vzb
openclaw.model.call	63407.0	YakdlcBq
openclaw.tool.execution	372.0	gX/WQRcn
openclaw.message.delivery	284.0	S7fvu+oV
openclaw.model.call	9825.0	QChQmlsp
openclaw.tool.execution	553.0	hvYNO2xX
openclaw.model.call	23982.0	Dt53o+QL
openclaw.tool.execution	547.0	NHZRveOa
openclaw.model.call	18445.0	90dCOfq0
openclaw.tool.execution	376.0	a+qSzBdR
openclaw.model.call	28362.0	MazYT6af
openclaw.tool.execution	40.0	rPwydxwX
openclaw.model.call	21992.0	WFVtkX4f
openclaw.tool.execution	545.0	V+/O46tB
openclaw.model.call	30179.0	YoU5O7hT
openclaw.tool.execution	11.0	JAxP/Ywa
openclaw.model.call	16027.0	uPBlSq0m
openclaw.tool.execution	5.0	exnU3dwr
continuation.compaction.released	0.0	ODL9lXpo
openclaw.harness.run	77499.0	Nd9NydwP
openclaw.run	77498.0	3CHyaycm
openclaw.model.call	8096.0	qzJ5V7DB
openclaw.tool.execution	4.0	jxWNKarG
openclaw.model.call	3677.0	9KfiiGhJ
openclaw.tool.execution	1.0	jQbTzKpz
openclaw.model.call	1.0	dkYEojzT
openclaw.context.assembled	0	YY/alZ3W
openclaw.context.assembled	0	ZYqBPaQ0
openclaw.model.call	4984.0	Q0GWzPFz
openclaw.tool.execution	984.0	nKvVvjAw
openclaw.tool.execution	1185.0	whIG/KeK
openclaw.model.call	8361.0	bwtwl5Pi
openclaw.tool.execution	104.0	044SXnNQ
openclaw.tool.execution	55.0	+qJ+tA9n
openclaw.model.call	5933.0	32sVUuUm
openclaw.tool.execution	4.0	3RDVzv9T
openclaw.tool.execution	3.0	Ddxuf5+b
openclaw.tool.execution	3.0	JiO+CBRM
openclaw.model.call	8181.0	aPtMZ3wM
openclaw.tool.execution	166.0	En+kDQU6
openclaw.tool.execution	262.0	trNPQ8vk
openclaw.model.call	9588.0	RgzeXpaT
openclaw.tool.execution	32.0	XuL9HKoZ
openclaw.tool.execution	31.0	eP4dGP0m
openclaw.tool.execution	31.0	gRzACUAI
openclaw.tool.execution	74.0	2UYKNpa8
openclaw.model.call	16569.0	06S308cm
openclaw.tool.execution	0	qYyfeglk
openclaw.tool.execution	253.0	8Xkwo2cS
openclaw.model.call	9638.0	KA6mbDJl
openclaw.tool.execution	12.0	+U73tRFD
openclaw.tool.execution	1.0	dJJjOQEV
continuation.queue.drain	0.0	bk4ct3rN
continuation.delegate.dispatch	133.0	9sKUr7Oq
continuation.work	0.0	gVtDiPTO
openclaw.harness.run	2895.0	0m2hT5cR
openclaw.run	2894.0	sf8r6Zrj
openclaw.model.call	2621.0	twVt52KD
openclaw.context.assembled	0	zy4V9lmn
openclaw.model.call	11931.0	M12Q33O+
openclaw.tool.execution	52.0	tktPabTP
