span	dur_ms	key_attrs
openclaw.message.processed	383541.0	{}
openclaw.harness.run	383163.0	{}
openclaw.run	383161.0	{}
openclaw.model.call	14500.0	{}
openclaw.context.assembled	0.0	{}
openclaw.context.assembled	0.0	{}
openclaw.model.call	17304.0	{}
openclaw.tool.execution	92.0	{}
openclaw.model.call	19255.0	{}
openclaw.tool.execution	180.0	{}
openclaw.model.call	15386.0	{}
openclaw.tool.execution	0.0	{}
openclaw.model.call	12363.0	{}
openclaw.tool.execution	158.0	{}
openclaw.model.call	15205.0	{}
openclaw.tool.execution	54.0	{}
openclaw.model.call	38562.0	{}
openclaw.tool.execution	3.0	{}
openclaw.model.call	15728.0	{}
openclaw.tool.execution	493.0	{}
openclaw.model.call	16595.0	{}
openclaw.tool.execution	40.0	{}
openclaw.model.call	30018.0	{}
openclaw.tool.execution	193.0	{}
openclaw.model.call	10062.0	{}
openclaw.tool.execution	31.0	{}
openclaw.model.call	31830.0	{}
openclaw.tool.execution	0.0	{}
openclaw.model.call	21176.0	{}
openclaw.tool.execution	58.0	{}
openclaw.model.call	36622.0	{}
openclaw.tool.execution	1.0	{}
openclaw.model.call	18946.0	{}
openclaw.tool.execution	25.0	{}
openclaw.model.call	26403.0	{}
openclaw.tool.execution	1.0	{}
openclaw.model.call	18790.0	{}
openclaw.tool.execution	40.0	{}
openclaw.model.call	22281.0	{}
openclaw.tool.execution	1.0	{}
continuation.work	0.0	{"chain.id": "e271a24a-2926-4056-a865-431e73ccee77", "chain.step.remaining": "199", "delay.ms": "30000", "reason.preview": "R-CD-4 (cross-session targetSessionKey=agent:main:main) fired \u2014 dispatches after"}
continuation.delegate.dispatch	68.9	{"chain.id": "e271a24a-2926-4056-a865-431e73ccee77", "chain.step.remaining": "198", "delegate.mode": "normal", "delegate.delivery": "immediate", "delay.ms": "0", "reason.preview": "[PROOF R-CD-4 / a437ca7 / ronan-dgx / main-session] Cross-session targeted-retur"}
openclaw.harness.run	2978.0	{}
openclaw.run	2974.0	{}
openclaw.model.call	2540.0	{}
