row	issue	classification	harness_verdict	exit_code	trace_status	attempts	artifact	reason	execution_harness_sha
PREFLIGHT	453	NO-VERDICT		99	unknown	2	PREFLIGHT/cael/20260802T124245Z-preflight-06936fe1	second and final attempt connected and listed sessions but tools.effective rejected the non-existent scratch session key; no third attempt authorized	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-1	454	PASS-candidate	PASS-candidate	0	present	1	R-CD-1/cael/20260802T124344Z-r-cd-1-fbfef216	authority contract complete with candidate envelope and Tempo trace	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-2	455	NO-VERDICT	PARTIAL-candidate	99	r-cd-2-authoritative-receipt	2	R-CD-2/cael/20260802T124728Z-r-cd-2-99aa17f2	required terminal sentinel and matching bounded Tempo trace remained absent on the single diagnostic rerun	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-3	456	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-3/cael/20260802T125030Z-r-cd-3-1b528f5f	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-4	457	NO-VERDICT	PARTIAL-candidate	99	present	2	R-CD-4/cael/20260802T125249Z-r-cd-4-a73dc0d9	child completed but targeted and parent returns plus trace remained absent after bounded rerun	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-CHAINED-DEPTH-2	458	NO-VERDICT	PARTIAL-candidate	99	missing	2	R-CD-CHAINED-DEPTH-2/cael/20260802T125753Z-r-cd-chained-depth-2-a4e670bd	root chain return and matching trace remained absent after bounded rerun; no third attempt authorized	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-COLLECTION-ON-COLLAPSE	459	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-COLLECTION-ON-COLLAPSE/cael/20260802T130154Z-r-cd-collection-on-collapse-f7832ee0	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-MODEL-CHAINED-ALT	460	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-MODEL-CHAINED-ALT/cael/20260802T130159Z-r-cd-model-chained-alt-f7832ee0	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-MODEL-DEFAULT	461	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-MODEL-DEFAULT/cael/20260802T130222Z-r-cd-model-default-f7832ee0	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-MODEL-TOKEN	462	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-MODEL-TOKEN/cael/20260802T130245Z-r-cd-model-token-f7832ee0	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-MODEL-TOOL	463	NO-VERDICT		99	present	2	R-CD-MODEL-TOOL/cael/20260802T130655Z-r-cd-model-tool-0e1de295	nonce-bound child execution/model span and return remained absent on bounded rerun; trace presence cannot substitute for execution binding	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-RETURN-OVERLAP	464	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-RETURN-OVERLAP/cael/20260802T131027Z-r-cd-return-overlap-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-SILENT	465	PASS-candidate	PASS-candidate	0	unknown	1	R-CD-SILENT/cael/20260802T131032Z-r-cd-silent-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CD-TOKEN	466	NO-VERDICT	PARTIAL-candidate	99	missing	2	R-CD-TOKEN/cael/20260802T131723Z-r-cd-token-b5e7a36f	exact product/runtime binding passed on rerun, but lifecycle authority was incomplete/nonunique and bounded Tempo trace remained missing	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CONFIG-DEFAULTS	467	PASS-candidate	PASS-candidate	0	unknown	1	R-CONFIG-DEFAULTS/cael/20260802T131113Z-r-config-defaults-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CONFIG-INTERSESSION	468	PASS-candidate	PASS-candidate	0	unknown	1	R-CONFIG-INTERSESSION/cael/20260802T131119Z-r-config-intersession-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-1	469	PASS-candidate	PASS-candidate	0	present	1	R-CW-1/cael/20260802T131125Z-r-cw-1-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-2	470	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-2/cael/20260802T131157Z-r-cw-2-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-3	471	NO-VERDICT	PARTIAL-candidate	0	present	2	R-CW-3/cael/20260802T132154Z-r-cw-3-6018400e	trace became present on rerun but harness remained PARTIAL-candidate, so complete authority was not established	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-4	472	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-4/cael/20260802T131333Z-r-cw-4-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-5	473	PASS-candidate	PASS-candidate	0	not-applicable	1	R-CW-5/cael/fixture-20260802T132959Z-50be3360	exact-candidate cost-cap fixture passed matrix, dispatch, typed-tool, no-spawn, and cleanup contracts	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-5A	474	NO-VERDICT	skipped	0	not-applicable	1	R-CW-5A/cael/static-20260802T131438Z-50be3360	runner explicitly skipped static-preflight-only row; no fresh product behavior authority	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-6	475	PASS-candidate	PASS-candidate	0	not-applicable	1	R-CW-6/cael/fixture-20260802T133102Z-50be3360	exact-candidate max-chain fixture passed boundary, durable recovery, typed surface, dispatch, dependency integrity, cleanup, and public-artifact safety contracts	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-6A	476	NO-VERDICT	skipped	0	not-applicable	1	R-CW-6A/cael/static-20260802T131438Z-50be3360	runner explicitly skipped static-preflight-only row; no fresh product behavior authority	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-7	477	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-7/cael/20260802T131438Z-r-cw-7-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-DELEGATE-CHILD-LIVE	478	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-DELEGATE-CHILD-LIVE/cael/20260802T131443Z-r-cw-delegate-child-live-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-DELEGATE-SELF-CONTINUATION	479	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-DELEGATE-SELF-CONTINUATION/cael/20260802T131449Z-r-cw-delegate-self-continuation-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-DELEGATE-TOKEN	480	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-DELEGATE-TOKEN/cael/20260802T131517Z-r-cw-delegate-token-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-MULTI-COLLAPSE	481	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-MULTI-COLLAPSE/cael/20260802T131523Z-r-cw-multi-collapse-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-MULTI	482	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-MULTI/cael/20260802T131529Z-r-cw-multi-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-CW-TOKEN	483	PASS-candidate	PASS-candidate	0	unknown	1	R-CW-TOKEN/cael/20260802T131534Z-r-cw-token-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
R-OBS-1	484	PASS-candidate	PASS-candidate	0	unknown	1	R-OBS-1/cael/20260802T131555Z-r-obs-1-4230a2f6	authority contract complete	50be3360876c9d4ed0332642d2f4f8597870bca2
