scope	name	span_id	parent_span_id	service	start_unix_ns	end_unix_ns	duration_ms
openclaw	openclaw.message.processed	tVEOjmwiBhY=		rune-prince	1780553106601000000	1780553267962000000	161361.000
openclaw	openclaw.harness.run	A0vY9JuP3Wg=	tVEOjmwiBhY=	rune-prince	1780553106703000000	1780553267925000000	161222.000
openclaw	openclaw.run	oD/KVZhaXE8=	A0vY9JuP3Wg=	rune-prince	1780553106703000000	1780553267924000000	161221.000
openclaw	openclaw.context.assembled	ln6hRSLMZjo=	oD/KVZhaXE8=	rune-prince	1780553107209000000	1780553107209000000	0.000
openclaw	openclaw.model.call	ZMXzAsR1NtA=	oD/KVZhaXE8=	rune-prince	1780553107233000000	1780553126230000000	18997.000
openclaw	openclaw.tool.execution	SO8FTXl6Yfo=	oD/KVZhaXE8=	rune-prince	1780553126493000000	1780553126770000000	277.000
openclaw	openclaw.model.call	CZmSn8ysT3k=	oD/KVZhaXE8=	rune-prince	1780553127054000000	1780553135075000000	8021.000
openclaw	openclaw.tool.execution	kUGvtDnWbRU=	oD/KVZhaXE8=	rune-prince	1780553135331000000	1780553135866000000	535.000
openclaw	openclaw.model.call	j8MtPVUp+Fk=	oD/KVZhaXE8=	rune-prince	1780553136136000000	1780553144889000000	8753.000
openclaw	openclaw.tool.execution	N1M6W0o0/rA=	oD/KVZhaXE8=	rune-prince	1780553145146000000	1780553145677000000	531.000
openclaw	openclaw.model.call	/ncNmABwalQ=	oD/KVZhaXE8=	rune-prince	1780553145953000000	1780553151406000000	5453.000
openclaw	openclaw.tool.execution	vPSMiedIqpY=	oD/KVZhaXE8=	rune-prince	1780553151669000000	1780553152197000000	528.000
openclaw	openclaw.model.call	SNLWuNQVcgw=	oD/KVZhaXE8=	rune-prince	1780553152466000000	1780553189517000000	37051.000
openclaw	openclaw.tool.execution	y5Tff40facc=	oD/KVZhaXE8=	rune-prince	1780553189780000000	1780553190604000000	824.000
openclaw	openclaw.model.call	kzM/R5f4TFY=	oD/KVZhaXE8=	rune-prince	1780553190869000000	1780553198506000000	7637.000
openclaw	openclaw.tool.execution	rtmhTMeS190=	oD/KVZhaXE8=	rune-prince	1780553198784000000	1780553198784000000	0.000
openclaw	openclaw.model.call	ZY+RLcCibC0=	oD/KVZhaXE8=	rune-prince	1780553199102000000	1780553208468000000	9366.000
openclaw	openclaw.tool.execution	9Ndo0UIFqhQ=	oD/KVZhaXE8=	rune-prince	1780553208730000000	1780553209007000000	277.000
openclaw	openclaw.model.call	klWsCs2SmFA=	oD/KVZhaXE8=	rune-prince	1780553209279000000	1780553235769000000	26490.000
openclaw	openclaw.tool.execution	70VSV/VAGhQ=	oD/KVZhaXE8=	rune-prince	1780553236030000000	1780553236031000000	1.000
openclaw	openclaw.model.call	47f4eDYtBh4=	oD/KVZhaXE8=	rune-prince	1780553236297000000	1780553241898000000	5601.000
openclaw	openclaw.tool.execution	0E5VJd3DPnk=	oD/KVZhaXE8=	rune-prince	1780553242157000000	1780553242973000000	816.000
openclaw	openclaw.model.call	o+T7AqAoF6Q=	oD/KVZhaXE8=	rune-prince	1780553243239000000	1780553247932000000	4693.000
openclaw	openclaw.tool.execution	H9j2Of0mQQI=	oD/KVZhaXE8=	rune-prince	1780553248206000000	1780553250338000000	2132.000
openclaw	openclaw.model.call	1ZzQ1dWnYPg=	oD/KVZhaXE8=	rune-prince	1780553250615000000	1780553266154000000	15539.000
openclaw	openclaw.tool.execution	5f75xJLVMwM=	oD/KVZhaXE8=	rune-prince	1780553266417000000	1780553267568000000	1151.000
openclaw	openclaw.message.delivery	XZI+XwbB4Ig=	A0vY9JuP3Wg=	rune-prince	1780553266435000000	1780553267246000000	811.000
openclaw.continuation	continuation.work	lyG7vmLbuzo=	tVEOjmwiBhY=	rune-prince	1780553267960000000	1780553267960014457	0.014
